asset_id,asset_type,local_path,extension,exists,file_size,width,height,read_error
hand_001,hand,data/raw/images/hands/hand_001.png,.png,true,1337412,896,1200,
style_001_original,style_original,data/raw/images/nail_styles_original/style_001_original.png,.png,true,1075477,928,1120,
style_001_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_001_enhanced.png,.png,true,1221491,896,1200,
hand_002,hand,data/raw/images/hands/hand_002.png,.png,true,1440833,896,1200,
style_002_original,style_original,data/raw/images/nail_styles_original/style_002_original.png,.png,true,1246574,1024,1040,
style_002_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_002_enhanced.png,.png,true,1421427,896,1200,
hand_003,hand,data/raw/images/hands/hand_003.png,.png,true,1373979,896,1200,
style_003_original,style_original,data/raw/images/nail_styles_original/style_003_original.png,.png,true,1155924,1088,960,
style_003_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_003_enhanced.png,.png,true,1442019,896,1200,
hand_004,hand,data/raw/images/hands/hand_004.png,.png,true,1474270,896,1200,
style_004_original,style_original,data/raw/images/nail_styles_original/style_004_original.jpg,.jpg,true,167903,1170,1172,
style_004_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_004_enhanced.png,.png,true,1419247,896,1200,
hand_005,hand,data/raw/images/hands/hand_005.png,.png,true,1508057,896,1200,
style_005_original,style_original,data/raw/images/nail_styles_original/style_005_original.jpg,.jpg,true,261514,2048,2048,
style_005_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_005_enhanced.png,.png,true,1961389,896,1200,
hand_006,hand,data/raw/images/hands/hand_006.png,.png,true,1465777,896,1200,
style_006_original,style_original,data/raw/images/nail_styles_original/style_006_original.png,.png,true,1057335,960,1088,
style_006_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_006_enhanced.png,.png,true,1291166,896,1200,
hand_007,hand,data/raw/images/hands/hand_007.png,.png,true,1478002,896,1200,
style_007_original,style_original,data/raw/images/nail_styles_original/style_007_original.png,.png,true,1123627,1024,1024,
style_007_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_007_enhanced.png,.png,true,1261101,896,1200,
hand_008,hand,data/raw/images/hands/hand_008.png,.png,true,1384352,896,1200,
style_008_original,style_original,data/raw/images/nail_styles_original/style_008_original.png,.png,true,996286,1024,1024,
style_008_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_008_enhanced.png,.png,true,1454656,896,1200,
hand_009,hand,data/raw/images/hands/hand_009.png,.png,true,1567468,896,1200,
style_009_original,style_original,data/raw/images/nail_styles_original/style_009_original.png,.png,true,1063942,1024,1024,
style_009_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_009_enhanced.png,.png,true,1334062,896,1200,
hand_010,hand,data/raw/images/hands/hand_010.png,.png,true,1249686,896,1200,
style_010_original,style_original,data/raw/images/nail_styles_original/style_010_original.png,.png,true,1460094,1056,992,
style_010_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_010_enhanced.png,.png,true,1401714,896,1200,
hand_011,hand,data/raw/images/hands/hand_011.png,.png,true,1844841,896,1200,
style_011_original,style_original,data/raw/images/nail_styles_original/style_011_original.png,.png,true,896438,832,1248,
style_011_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_011_enhanced.png,.png,true,1470606,896,1200,
hand_012,hand,data/raw/images/hands/hand_012.png,.png,true,1391032,896,1200,
style_012_original,style_original,data/raw/images/nail_styles_original/style_012_original.png,.png,true,1180529,992,1056,
style_012_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_012_enhanced.png,.png,true,1534373,896,1200,
hand_013,hand,data/raw/images/hands/hand_013.png,.png,true,1383612,896,1200,
style_013_original,style_original,data/raw/images/nail_styles_original/style_013_original.png,.png,true,1087649,928,1120,
style_013_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_013_enhanced.png,.png,true,1549984,896,1200,
style_014_original,style_original,data/raw/images/nail_styles_original/style_014_original.png,.png,true,1005960,1024,1024,
style_014_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_014_enhanced.png,.png,true,1267184,896,1200,
style_015_original,style_original,data/raw/images/nail_styles_original/style_015_original.png,.png,true,1052442,928,1120,
style_015_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_015_enhanced.png,.png,true,1338550,896,1200,
style_016_original,style_original,data/raw/images/nail_styles_original/style_016_original.png,.png,true,1089012,1120,928,
style_016_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_016_enhanced.png,.png,true,1477113,896,1200,
style_017_original,style_original,data/raw/images/nail_styles_original/style_017_original.png,.png,true,1137747,992,1056,
style_017_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_017_enhanced.png,.png,true,1369801,896,1200,
style_018_original,style_original,data/raw/images/nail_styles_original/style_018_original.png,.png,true,960529,992,1056,
style_018_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_018_enhanced.png,.png,true,1651037,896,1200,
style_019_original,style_original,data/raw/images/nail_styles_original/style_019_original.png,.png,true,1040053,928,1120,
style_019_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_019_enhanced.png,.png,true,1430337,896,1200,
style_020_original,style_original,data/raw/images/nail_styles_original/style_020_original.png,.png,true,1139460,928,1120,
style_020_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_020_enhanced.png,.png,true,1381726,896,1200,
style_021_original,style_original,data/raw/images/nail_styles_original/style_021_original.png,.png,true,1009918,1024,1024,
style_021_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_021_enhanced.png,.png,true,1411927,896,1200,
style_022_original,style_original,data/raw/images/nail_styles_original/style_022_original.png,.png,true,963164,1024,1024,
style_022_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_022_enhanced.png,.png,true,1270162,896,1200,
style_023_original,style_original,data/raw/images/nail_styles_original/style_023_original.png,.png,true,982638,864,1184,
style_023_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_023_enhanced.png,.png,true,1201099,896,1200,
style_024_original,style_original,data/raw/images/nail_styles_original/style_024_original.png,.png,true,1076304,1024,1024,
style_024_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_024_enhanced.png,.png,true,1491955,896,1200,
style_025_original,style_original,data/raw/images/nail_styles_original/style_025_original.png,.png,true,1211916,992,1056,
style_025_enhanced,style_enhanced,data/raw/images/nail_styles_enhanced/style_025_enhanced.png,.png,true,1501913,896,1200,
