pair_id,hand_id,style_id,hand_url,style_original_url,style_enhanced_url,hand_path,style_original_path,style_enhanced_path
pair_001,hand_001,style_001,http://p0.meituan.net/pilotimages/b9632e3a699fdb63a1a6139bbfd6bf0d2159483.png,http://p0.meituan.net/pilotimages/8491d190aeb8f44e32f6b278535bf2b41075477.png,http://p0.meituan.net/pilotimages/87797733466cfd525625a5947767e2ff1794125.png,data/raw/images/hands/hand_001.png,data/raw/images/nail_styles_original/style_001_original.png,data/raw/images/nail_styles_enhanced/style_001_enhanced.png
pair_002,hand_002,style_002,http://p1.meituan.net/pilotimages/704b1c4bdf589b5d5367f2748f6868f42205269.png,http://p1.meituan.net/pilotimages/493fc5818746fe45d9be82763034edbe1246574.png,http://p0.meituan.net/pilotimages/162afb52255bd908ba3ec418fd61824a2254875.png,data/raw/images/hands/hand_002.png,data/raw/images/nail_styles_original/style_002_original.png,data/raw/images/nail_styles_enhanced/style_002_enhanced.png
pair_003,hand_003,style_003,http://p0.meituan.net/pilotimages/3cd4bc446f321574df68ce0a749b16b62603765.png,http://p0.meituan.net/pilotimages/667658abb96c7547791d48360a8e95b61155924.png,http://p1.meituan.net/pilotimages/7bb5bc0c2c741f9f0aa63787a601d7ad2604877.png,data/raw/images/hands/hand_003.png,data/raw/images/nail_styles_original/style_003_original.png,data/raw/images/nail_styles_enhanced/style_003_enhanced.png
pair_004,hand_004,style_004,http://p0.meituan.net/pilotimages/7c791f4b4b13659d62d991f172f5ffd02674881.png,http://p1.meituan.net/pilotimages/f8539918c55c5c1e4a45ee3996df65f7167977.jpg,http://p0.meituan.net/pilotimages/fc8fe60e78341d77a5070fc2f8e520072098070.png,data/raw/images/hands/hand_004.png,data/raw/images/nail_styles_original/style_004_original.jpg,data/raw/images/nail_styles_enhanced/style_004_enhanced.png
pair_005,hand_005,style_005,http://p1.meituan.net/pilotimages/5a7efacd78020469ab44e4caca1afe972676586.png,http://p1.meituan.net/pilotimages/1d448b059cddcc2f0705a4a4fe554e06261514.jpg,http://p1.meituan.net/pilotimages/3c0d090e20f0cb56f70fcb56c54dd6582416974.png,data/raw/images/hands/hand_005.png,data/raw/images/nail_styles_original/style_005_original.jpg,data/raw/images/nail_styles_enhanced/style_005_enhanced.png
pair_006,hand_006,style_006,http://p1.meituan.net/pilotimages/6a3d032df4a143c79c3e2ec3cd4c53522723999.png,http://p0.meituan.net/pilotimages/a99d2de6bf0ade20211c0ae46af8e44b1057335.png,http://p0.meituan.net/pilotimages/6c857edd85a5fa4bcec59698fe9416cb1913981.png,data/raw/images/hands/hand_006.png,data/raw/images/nail_styles_original/style_006_original.png,data/raw/images/nail_styles_enhanced/style_006_enhanced.png
pair_007,hand_007,style_007,http://p0.meituan.net/pilotimages/ed9a1cd3cca3997ede3779771dda6a772149757.png,http://p0.meituan.net/pilotimages/6dedbe1cfe7de834cd8faa4e19179fee1123627.png,http://p0.meituan.net/pilotimages/2ac2d01a9bc78320edbe2b545b485b4a2132292.png,data/raw/images/hands/hand_007.png,data/raw/images/nail_styles_original/style_007_original.png,data/raw/images/nail_styles_enhanced/style_007_enhanced.png
pair_008,hand_008,style_008,http://p1.meituan.net/pilotimages/a52c995f1f9e2e668c6093099cfd24032514125.png,http://p0.meituan.net/pilotimages/7b22fa4e6e1ee4e59a1115a27b125fe0996286.png,http://p1.meituan.net/pilotimages/d15c06e8c2137d4f39f3b60476a90cf92026957.png,data/raw/images/hands/hand_008.png,data/raw/images/nail_styles_original/style_008_original.png,data/raw/images/nail_styles_enhanced/style_008_enhanced.png
pair_009,hand_009,style_009,http://p0.meituan.net/pilotimages/e0d094b37e9595e465280b26b9cefc7b2318139.png,http://p0.meituan.net/pilotimages/6b20ca923ac4461aeaab7bf136bfda3c1063942.png,http://p1.meituan.net/pilotimages/69614397f0ecb559b98cb46a5a46f3b32642714.png,data/raw/images/hands/hand_009.png,data/raw/images/nail_styles_original/style_009_original.png,data/raw/images/nail_styles_enhanced/style_009_enhanced.png
pair_010,hand_010,style_010,http://p0.meituan.net/pilotimages/4b310e7ce87af3d5f20064a25420f34b2320446.png,http://p0.meituan.net/pilotimages/a5894d122ca3bd7e1f12401a8c72351e1460094.png,http://p1.meituan.net/pilotimages/2277d6f9d82264fa6a3c986373e5e44c2292083.png,data/raw/images/hands/hand_010.png,data/raw/images/nail_styles_original/style_010_original.png,data/raw/images/nail_styles_enhanced/style_010_enhanced.png
